x,y
5.8666110643000255,-7.229920377097602e-08
5.89948886582933,-1.1743492772752889e-07
5.93132156351099,-1.813666513666276e-07
5.962144149112391,-2.658288764873641e-07
5.991990750635984,-3.721075759623039e-07
6.020894336201312,-5.011248249400851e-07
6.0488866364278175,-6.534983135396636e-07
6.075998159607703,-8.295865706742981e-07
6.102258246644794,-1.02952603326004e-06
6.127695133136626,-1.2532627073609682e-06
6.152336002208206,-1.500579200544033e-06
6.176207028627716,-1.771117555770348e-06
6.199333422376176,-2.064398908566537e-06
6.221739475733579,-2.3798412299350715e-06
6.2434486106112415,-2.71677571118894e-06
6.264483421053595,-3.07446139262541e-06
6.284865709805517,-3.4520974968298362e-06
6.304616521726497,-3.848833699246414e-06
6.32375617666537,-4.26377928535843e-06
6.3423043017402465,-4.696011949571642e-06
6.360279861494169,-5.144586132123093e-06
6.377701185286482,-5.608540258799107e-06
6.394585992689108,-6.0869025913060295e-06
6.4109514177564675,-6.578696134955027e-06
6.426814032127046,-7.082943315613787e-06
6.442189866452864,-7.598670680832017e-06
6.457184705279555,-8.07297213113559e-06
6.472255237346686,-8.246485339395038e-06
6.487871384441551,-7.843321409137274e-06
6.504220360630522,-6.7490439180959125e-06
6.521354712615442,-4.929122325440231e-06
6.53927790625812,-2.3798804818223755e-06
6.557975801729619,8.89980238734972e-07
6.57742821917788,4.866352385424992e-06
6.597613179377097,9.532366301216943e-06
6.618508449807464,1.4869422465425298e-05
6.640092099772013,2.0857612247918962e-05
6.662342691135061,2.7475915406599972e-05
6.685239335390895,3.4702316916158925e-05
6.708761702133232,4.251389431529102e-05
6.732890010340542,5.088689401271711e-05
6.757605014079102,5.979680271952964e-05
6.782887986628111,6.921841753158364e-05
6.808720704541154,7.912591433824863e-05
6.835085432486737,8.949291689841657e-05
6.8619649092876385,0.00010029256238380455
6.889342335087749,0.00011149756880966855
6.917201359304207,0.00012308029810749314
6.945526069181237,0.00013501282127748068
6.974300979106027,0.0001472669769602754
7.0035110210337335,0.00015981442661711315
7.033141535850744,0.00017262670528977623
7.063178265354153,0.0001856752780950346
7.09360734450608,0.00019893159438002812
7.124415293859272,0.00021236714341549187
7.155589012477345,0.00022595349733420576
7.187115771508091,0.00023966235866487728
7.218983208124975,0.00025346560307734634
7.251179319498213,0.0002673353234659806
7.283692456657072,0.000281243871605541
7.316511318335719,0.00029516391027359037
7.349624944986306,0.00030906845272650344
7.383022712985464,0.00032293089900437157
7.416694328871199,0.0003367250649480925
7.4506298233131885,0.00035042521240702374
7.484819544899514,0.00036400606917564947
7.519254153862635,0.0003774428423842259
7.553924615835243,0.0003907112293858564
7.588822195619576,0.00040378743619125826
7.623938450850551,0.00041664818956009693
7.659265225475891,0.00042927075974120727
7.694794643081832,0.0004416329739850971
7.730519100053584,0.00045371322000749254
7.766431258838743,0.0004654904467458001
7.8025240414516075,0.0004769441748180666
7.838790622888603,0.0004880544969061097
7.875224424370523,0.0004988020763830876
7.911819106592562,0.0005091681399617343
7.9485685631163845,0.0005191344672335643
7.985466913775935,0.0005286833774144371
8.022508498114748,0.0005377977174746316
8.059687868866533,0.0005464608489159596
8.096999785438053,0.0005546566313377648
8.134439207508388,0.0005623694052212663
8.172001288229,0.0005695839653331203
8.209681368435945,0.0005762855326244214
8.247474970767334,0.000582459720067224
8.285377792947488,0.0005880924950708451
8.323385701179008,0.0005931701322170396
8.361494725197613,0.0005976791775323259
8.399701053346448,0.0006016063917817683
8.438001025645681,0.0006049387126313806
8.476391128382211,0.0006076632218077428
8.514867988705019,0.00060976710644569
8.553428369347957,0.0006112375438340163
8.592069163449196,0.0006120615958793676
8.630787389457662,0.0006122261367324975
8.669580186169858,0.0006117177547508608
8.708333182107397,0.0006105972967782893
8.746304393129812,0.0006093263688436489
8.783185158462206,0.0006081246706285494
8.818929291568358,0.0006070688774956637
8.85354558954431,0.0006061981796275163
8.887061966697292,0.0006055330212285593
8.91951232781786,0.0006050841961461237
8.950931818303761,0.0006048571805231657
8.981355141173006,0.0006048541996355673
9.01081597747525,0.0006050752624820364
9.039346801586671,0.0006055187317009398
9.066978849371834,0.0006061816742802777
9.093742153825108,0.0006070601004179736
9.119665605648793,0.0006081491439028567
9.144777012416023,0.0006094432118456795
9.169103147198165,0.0006109361143512922
9.192669791637417,0.0006126211755325331
9.215501780925312,0.0006144913270599199
9.237623051575252,0.000616539188551092
9.25905668720912,0.000618757138992584
9.279824958525854,0.0006211373799557222
9.299949358229359,0.0006236719894119436
9.319450634079942,0.0006263529668257521
9.338348821674996,0.0006291722728337617
9.356663276045698,0.0006321218662737809
9.374412700699509,0.0006351937381187532
9.391615174103189,0.0006383799400507082
9.408288174586511,0.0006416726071761766
9.424448604208317,0.0006450639773743118
9.440112811252588,0.0006485464102269538
9.455310679380789,0.0006520549078073573
9.47032616310665,0.0006544731970464867
9.485694235407655,0.000653603737692689
9.501729577755944,0.0006481213415132467
9.518532968668008,0.0006375878137756407
9.536125419493622,0.0006219090677088181
9.554499055548627,0.0006011248616614573
9.573635816960342,0.0005753298619749937
9.593514326066623,0.0005446438881614402
9.614112399894733,0.0005092005449566203
9.635407960572888,0.000469142713286578
9.657379356651395,0.00042462058893364573
9.68000546802825,0.00037579066944285654
9.70326573167665,0.00032281509547742924
9.727140138960559,0.00026586111900847576
9.75160922327662,0.00020510062795475728
9.776654044586923,0.00014070968549910752
9.802256173316499,7.286809157209684e-05
9.828397674745407,1.7589533026865463e-06
9.855061094441506,-7.243174634725689e-05
9.882229444915522,-0.00014951557108187696
9.90988619325832,-0.00022930205650330677
9.938015249306732,-0.0003115991360923765
9.966600954507541,-0.0003962135323800926
9.995628071785202,-0.0004829511094213199
10.025081776517563,-0.0005716172581688936
10.054947648230227,-0.0006620172721431893
10.085211662695047,-0.0007539567104073503
10.115860184234931,-0.0008472417222704832
10.146879958369242,-0.0009416793799866474
10.17825810508984,-0.0010370779541244582
10.209982112635867,-0.0011332472234570246
10.242039831456605,-0.0012299987822101586
10.274419468079243,-0.0013271463058924435
10.307109578944697,-0.001424505780966032
10.340099064409545,-0.0015218957477924112
10.373377162834897,-0.001619137544370421
10.406933444796758,-0.0017160554792831331
10.440757807188206,-0.0018124768913646957
10.474840467100345,-0.001908232225022965
10.509171955647261,-0.0020031551938422282
10.543743111665988,-0.0020970830189449862
10.578545075482461,-0.0021898566324851394
10.61356928264742,-0.0022813207443001093
10.648807457609756,-0.0023713238442502277
10.684251608715106,-0.0024597182666325455
10.71989401724717,-0.002546360247568814
10.755727233148773,-0.0026311099700342348
10.79174406900928,-0.0027138315581253713
10.82793759312443,-0.002794393087699018
10.864301122736252,-0.0028726665799189395
10.900828217270163,-0.0029485279733732018
10.937512671685466,-0.003021857078837538
10.97434850987596,-0.003092537506765797
11.011329978099145,-0.003160456577312938
11.048451538461968,-0.0032255052203787314
11.085707862369883,-0.003287577851007684
11.123093824005718,-0.0033465722418438005
